original,translation,phonetics,format,notes
PARASHAT SHOFTIM,PARASHAT SHOFTIM,,part,
SEXTA ALIÁ,SEXTA ALIÁ,,chapter,
"Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA","Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA",,license,
"Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC","Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC",,license,
CAPÍTULO 19,CAPÍTULO 19,,chapter,
14,,,subchapter,
,"No desplazarás [el] límite de tu prójimo, que delimitaron los primeros, en tu heredad que heredarás en la tierra que Adonai tu Dios te da a ti para heredarla.",,intro,
לֹ֤א,No,lo,,
תַסִּיג֙,desplazarás,tasig,,
גְּב֣וּל,[el] límite de,gévul,,
רֵֽעֲךָ֔,"tu prójimo,",reajá,,
אֲשֶׁ֥ר,que,asher,,
גָּבְל֖וּ,delimitaron,govlu,,
רִאשֹׁנִ֑ים,"los primeros,",rishonim,,
בְּנַחֲלָֽתְךָ֙,en tu heredad,benajalatejá,,
אֲשֶׁ֣ר,que,asher,,
תִּנְחַ֔ל,heredarás,tinjal,,
בָּאָ֕רֶץ,en la tierra,baáretz,,
אֲשֶׁר֙,que,asher,,
יְהֹוָ֣ה,Adonai,Adonai,,
אֱלֹהֶ֔יךָ,tu Dios,eloheija,,
נֹתֵ֥ן,te da,notén,,
לְךָ֖,a ti,lejá,,
לְרִשְׁתָּֽהּ׃,para heredarla.,lerishtah,,
15,,,subchapter,
,"No se levantará un testigo solo contra un hombre por ninguna iniquidad ni por ningún pecado, en cualquier falta que cometa; por boca de dos testigos o por boca de tres testigos se establecerá un asunto.",,intro,
לֹֽא־יָקוּם֩,No se levantará,lo-yakum,,
עֵ֨ד,un testigo,ed,,
אֶחָ֜ד,solo,ejad,,
בְּאִ֗ישׁ,contra un hombre,beish,,
לְכׇל־עָוֺן֙,por ninguna iniquidad,lejol-avn,,
וּלְכׇל־חַטָּ֔את,"ni por ningún pecado,",ulejol-jatat,,
בְּכׇל־חֵ֖טְא,en cualquier falta,bejol-jete,,
אֲשֶׁ֣ר,que,asher,,
יֶֽחֱטָ֑א,cometa;,yejetá,,
עַל־פִּ֣י,por boca de,al-pi,,
שְׁנֵ֣י,dos,shenéi,,
עֵדִ֗ים,testigos,edim,,
א֛וֹ,o,o,,
עַל־פִּ֥י,por boca de,al-pi,,
שְׁלֹשָֽׁה־עֵדִ֖ים,tres testigos,sheloshá-edim,,
יָק֥וּם,se establecerá,yákum,,
דָּבָֽר׃,un asunto.,davar,,
16,,,subchapter,
,"Cuando se levante un testigo malicioso contra un hombre para testificar contra él falsedad,",,intro,
כִּֽי־יָק֥וּם,Cuando se levante,ki-yákum,,
עֵד־חָמָ֖ס,un testigo malicioso,ed-jamás,,
בְּאִ֑ישׁ,contra un hombre,beish,,
לַעֲנ֥וֹת,para testificar,laánot,,
בּ֖וֹ,contra él,bo,,
סָרָֽה׃,"falsedad,",sará,,
